,deflator inflation - forecast,deflator inflation - actual,nominal interest
2004-10-01,1.9992,3.2925105392862086,2.466666666666667
2005-01-01,1.9775,3.1993844473677813,3.063333333333333
2005-04-01,2.2313,3.356415880135044,3.3366666666666664
2005-07-01,2.2452,3.1380497692251375,3.7866666666666666
2005-10-01,2.1876,2.6631626115706464,4.286666666666666
2006-01-01,2.1911,2.9101928904708974,4.633333333333333
2006-04-01,2.2606,2.728833361150196,5.0200000000000005
2006-07-01,2.3919,2.5737557418193724,5.09
2006-10-01,2.2698,2.6223899964610053,4.986666666666667
2007-01-01,2.1312,2.03211180704872,5.01
2007-04-01,2.2922,1.8184772139118621,4.933333333333334
2007-07-01,2.2673,2.0278848595369547,4.523333333333333
2007-10-01,2.2425,1.862218799213733,3.6199999999999997
2008-01-01,2.2445,1.406402107312621,2.1
2008-04-01,2.3917,0.7499601085048768,2.0733333333333337
2008-07-01,2.2277,0.1153859206552088,2.1233333333333335
2008-10-01,1.9411,0.18958843510545886,0.9933333333333333
2009-01-01,1.253,0.5567916153733199,0.5666666666666667
2009-04-01,1.4694,1.216118376397124,0.52
2009-07-01,1.4576,1.4033739731754258,0.4466666666666667
2009-10-01,1.4816,1.6704024509748505,0.35000000000000003
2010-01-01,1.5317,1.8981086302169992,0.3666666666666667
2010-04-01,1.6558,2.0732974930424364,0.38000000000000006
2010-07-01,1.5026,2.3767870474577624,0.27
2010-10-01,1.522,1.9066294425241548,0.25666666666666665
2011-01-01,1.5032,1.9828935476048803,0.2733333333333334
2011-04-01,1.773,1.731160896130346,0.20666666666666667
2011-07-01,1.8874,1.677260655666335,0.13333333333333333
2011-10-01,1.9302,2.0655541664401866,0.11333333333333333
2012-01-01,1.7483,1.8730072953255794,0.15666666666666665
2012-04-01,1.9376,1.6726403823178027,0.18666666666666668
2012-07-01,1.8588,1.6131967414924508,0.18333333333333335
2012-10-01,1.9932,1.6413697608776756,0.17333333333333334
2013-01-01,1.9263,1.6232043964438114,0.15333333333333332
2013-04-01,1.8684,1.9785943405214779,0.12666666666666668
2013-07-01,1.8131,1.8983607938982683,0.12333333333333334
2013-10-01,1.8067,1.4629136713264712,0.12333333333333334
2014-01-01,1.8392,1.0241366350691283,0.12333333333333334
2014-04-01,1.8751,1.032907713069653,0.10333333333333333
2014-07-01,1.966,0.8860078986001607,0.11
2014-10-01,1.8654,0.7839127471029217,0.14666666666666667
2015-01-01,1.7707,0.7512736516859686,0.22333333333333336
2015-04-01,1.8144,0.8569226817364495,0.25
2015-07-01,1.7656,0.8474836805591135,0.35000000000000003
2015-10-01,1.8526,1.337350508808055,0.4633333333333334
2016-01-01,1.8085,1.9426438007713154,0.5766666666666667
2016-04-01,1.8686,1.5189641296264211,0.5666666666666668
2016-07-01,1.8892,1.7803068793821764,0.5566666666666666
2016-10-01,1.9402,1.9133143215419812,0.7566666666666667
2017-01-01,2.1025,2.0414528624610018,0.8866666666666667
2017-04-01,2.0102,2.494731560461605,1.12
2017-07-01,1.9432,2.4110940276751647,1.2433333333333334
2017-10-01,1.998,2.2236996169799017,1.5533333333333335
2018-01-01,2.0365,1.8822903006340042,1.9400000000000002
2018-04-01,2.1011,1.6899036578679416,2.25
2018-07-01,2.2249,1.5744270158027485,2.466666666666667
2018-10-01,2.2151,1.4531300051446872,2.67
2019-01-01,2.1038,1.6491173737999354,2.54
2019-04-01,2.0131,0.7240376653636638,2.2533333333333334
2019-07-01,1.9787,1.3244778869778928,1.8433333333333335
2019-10-01,1.9405,1.6399402962225862,1.5766666666666669
2020-01-01,1.9268,2.428783608804941,1.09
2020-04-01,1.3731,4.439176400864131,0.17333333333333334
2020-07-01,1.5176,5.082787102640851,0.1366666666666667
2020-10-01,1.872,6.228937211710428,0.11666666666666665
2021-01-01,1.9533,7.011330786462544,0.08333333333333333
2021-04-01,2.3091,7.75229273828919,0.06
2021-07-01,2.2512,7.2950657123799,0.07666666666666667
